"","State","Name","Saffir_Simpson_Category","Date_Closest","Year_Closest","Date_Formed","Date_Extratropical","Date_Dissipated","Fatalities","Damage","URL_Searched","Damage_Estimate","Fatalities_Estimate","Detail_QA"
"518","Guam","Rita","1",1978-10-23,"1978",2005-09-18,NA,2005-09-26,"120","$18.5 billion ","https://en.wikipedia.org/wiki/Hurricane_Rita",18500000000,120,"No"
"519","Guam","Bill","1",1984-11-12,"1984",NA,NA,NA,NA,NA,"https://en.wikipedia.org/wiki/Hurricane_Bill",NA,NA,"No"
"520","Guam","Roy","3",1988-01-12,"1988",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"521","Guam","Russ","1",1990-12-20,"1990",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"522","Guam","Yuri","2",1991-11-27,"1991",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"523","Guam","Omar","3",1992-08-28,"1992",2008-10-13,2008-10-18,2008-10-21,"1 indirect","$80 million ","https://en.wikipedia.org/wiki/Hurricane_Omar",80000000,1,"No"
"524","Guam","Brian","1",1992-10-21,"1992",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"525","Guam","Gay","2",1992-11-23,"1992",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"526","Guam","Paka","4",1997-12-16,"1997",1997-11-28,NA,1997-12-23,"None","$580 million ","https://en.wikipedia.org/wiki/Hurricane_Paka_(1997)",580000000,0,"Yes"
"527","Guam","Chataan","1",2002-07-04,"2002",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"528","Guam","Pongsona","4",2002-12-08,"2002",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"529","Guam","Dolphin","1",2015-05-15,"2015",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"530","Guam","Mawar","4",2023-05-24,"2023",2023-05-19,2023-06-02,2023-06-03,"6 total","$4.3 billion ","https://en.wikipedia.org/wiki/Hurricane_Mawar",4300000000,6,"Yes"
"531","Northern Mariana Islands","Kim","4",1986-12-03,"1986",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"532","Northern Mariana Islands","Lynn","1",1987-10-18,"1987",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"533","Northern Mariana Islands","Roy","3",1988-01-12,"1988",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"534","Northern Mariana Islands","Mireille","1",1991-09-19,"1991",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"535","Northern Mariana Islands","Seth","2",1991-11-03,"1991",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"536","Northern Mariana Islands","Joan","1",1997-10-18,"1997",1988-10-10,NA,1988-11-02,"216-334 total (all as Joan)","$2 billion ","https://en.wikipedia.org/wiki/Hurricane_Joan",2000000000,334,"No"
"537","Northern Mariana Islands","Keith","2",1997-11-02,"1997",2000-09-28,NA,2000-10-06,"62 direct 6 indirect (68 total)","$319 million ","https://en.wikipedia.org/wiki/Hurricane_Keith",319000000,68,"No"
"538","Northern Mariana Islands","Paka","1",1997-12-16,"1997",1997-11-28,NA,1997-12-23,"None","$580 million ","https://en.wikipedia.org/wiki/Hurricane_Paka_(1997)",580000000,0,"Yes"
"539","Northern Mariana Islands","Pongsona","1",2002-12-08,"2002",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"540","Northern Mariana Islands","Chaba","3",2004-08-22,"2004",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"541","Northern Mariana Islands","Vongfong","2",2014-10-05,"2014",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"542","Northern Mariana Islands","Dolphin","1",2015-05-15,"2015",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"543","Northern Mariana Islands","Soudelor","4",2015-08-02,"2015",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"544","Northern Mariana Islands","Mangkhut","2",2018-09-10,"2018",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"545","Northern Mariana Islands","Yutu","5",2018-10-24,"2018",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"546","Puerto Rico","""San Ciriaco""","4",1899-08-08,"1899",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"547","Puerto Rico","""San Hipólito""","2",1916-08-22,"1916",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"548","Puerto Rico","""San Liborio""","2",1926-07-24,"1926",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"549","Puerto Rico","""San Felipe II""","5",1928-09-13,"1928",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"550","Puerto Rico","""San Nicolás""","1",1931-09-11,"1931",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"551","Puerto Rico","""San Ciprián""","4",1932-09-27,"1932",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"552","Puerto Rico","Betsy","2",1956-08-12,"1956",1956-08-09,NA,1956-08-18,"37","$50 million ","https://en.wikipedia.org/wiki/Hurricane_Betsy_(1956)",50000000,37,"Yes"
